link,title,brand,modelNu,price
https://www.trendyol.com/zeiron/kind-x60-i5-3470-16gb-128gb-ssd-500gb-hdd-gt730-18-5-oyun-bilgisayari-p-137200403,"128gb Ssd+500gb Hdd Gt730 18.5"" Oyun Bilgisayarı",Zeiron,Kind X60 I5-3470 16gb,9199.0
https://www.trendyol.com/acer/nitro-v15-anv15-51-57xv-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-nh-qnbey-004-p-834010357,"i5-13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD NH.QNBEY.004",ACER,Nitro V15 ANV15-51-57XV,28699.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa506nc-hn048-ryzen-5-7535hs-8gb-ram-512gb-ssd-4gb-rtx3050-15-6-inc-fhd-144hz-p-804080592,FA506NC-HN048 Ryzen 5 7535HS 8GB RAM 512GB SSD 4GB RTX3050 15.6 inç FHD 144Hz,ASUS,TUF Gaming A15,24999.0
https://www.trendyol.com/casper/excalibur-g870-1270-dxb0x-b-intel-core-i7-12700h-32gb-ram-2tb-nvme-ssd-8gb-rtx4060-dos-gaming-laptop-p-672155829,G870.1270-DXB0X-B Intel Core i7-12700H 32GB RAM 2TB NVMe SSD 8GB RTX4060 DOS GAMING LAPTOP,CASPER,Excalibur,42031.19
https://www.trendyol.com/quadro/novabook-in16-1650p-cs-i5-1035g7-16gb-512gb-ssd-o-b-uhd-15-6-dos-siyah-notebook-p-804300550,"I5-1035g7 16gb 512gb Ssd O/b Uhd 15.6"" Dos Siyah Notebook",Quadro,Novabook In16-1650p-cs,13349.0
https://www.trendyol.com/msi/cyborg-15-a13vf-895xtr-i5-13420h-16gb-gddr6-1tb-rtx-4060-8gb-15-6-144hz-freedos-full-hd-noteboo-p-804737263,"I5-13420h 16gb Gddr6 1tb Rtx 4060 8gb 15.6"" 144hz Freedos Full Hd Noteboo",MSI,Cyborg 15 A13vf-895xtr,35999.0
https://www.trendyol.com/lenovo/ideapad-1-15alc7-ryzen-7-5700u-8gb-256gb-ssd-15-6-fhd-freedos-82r4006etr-p-739210717,"7 5700U 8GB 256GB SSD 15.6"" FHD Freedos 82R4006ETR",LENOVO,IdeaPad 1 15ALC7 Ryzen,14040.0
https://www.trendyol.com/lenovo/ideapad1-intel-celeron-n4020-4gb-128gb-dos-15-6-gri-laptop-82v700a8tx-p-773962718,"Celeron-N4020 4GB 128GB DOS 15.6"" Gri Laptop 82V700A8TX",LENOVO,Ideapad1 Intel,7999.0
https://www.trendyol.com/izoly/business-swift-xt-i5-3470-16gb-256gb-22-masaustu-bilgisayari-p-637243886,"I5-3470 16gb 256gb 22""masaüstü Bilgisayarı",IZOLY,Busıness Swift Xt,6499.0
https://www.trendyol.com/msi/thin-15-b12uc-1478xtr-i5-12450h-16gb-rtx3050-gddr6-4gb-512gb-ssd-15-6-fhd-144hz-dos-p-820152712,I5-12450h 16gb Rtx3050 Gddr6 4gb 512gb Ssd 15.6 Fhd 144hz Dos,MSI,Thın 15 B12uc-1478xtr,25929.0
https://www.trendyol.com/apple/15-inch-macbook-air-apple-m2-chip-with-8-core-cpu-and-10-core-gpu-256gb-midnight-p-736178362,"Apple M2 chip with 8-core CPU and 10-core GPU, 256GB - Midnight",Apple,15-inch MacBook Air:,42549.0
https://www.trendyol.com/lenovo/ideapad-gaming-3-amd-ryzen-5-16-gb-512gb-ssd-rtx2050-4gb-freedos-15-6-ips-fhd-82k2029ytx-p-841897249,"Ryzen 5 16 GB 512GB SSD RTX2050- 4GB Freedos 15.6"" IPS FHD 82K2029YTX",LENOVO,Ideapad Gaming 3 AMD,23899.0
https://www.trendyol.com/zeiron/rx44-plus-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-dual-curved-oyuncu-bilgisayari-p-338365031,"1TB HDD + 240GB SSD GT730 23.8"" Dual Curved Oyuncu Bilgisayarı",Zeiron,Rx44 Plus i5 3470 16GB,15749.0
https://www.trendyol.com/hp/victus-16-s0023nt-7z4n1ea-8gb-rtx4060-ryzen-5-7640hs-16gb-ram-512gb-ssd-16-1-inc-fhd-144hz-p-739046709,8GB RTX4060 Ryzen 5 7640HS 16GB RAM 512GB SSD 16.1 inç FHD 144Hz,HP,Victus 16-S0023NT 7Z4N1EA,37999.0
https://www.trendyol.com/asus/rog-strix-g16-g614jv-n3159-intel-core-i7-13650hx-16-gb-512-gb-ssd-rtx-4060-165-hz-freedos-16-f-p-652899843,"G614jv-n3159 Intel Core I7 13650hx 16 Gb 512 Gb Ssd Rtx 4060 165 Hz Freedos 16"" F",ASUS,Rog Strix G16,54258.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa506nf-hn050-4gb-rtx2050-ryzen-5-7535hs-8gb-ram-512gb-ssd-15-6-inc-fhd-144hz-p-804081390,Fa506nf-hn050 4gb Rtx2050 Ryzen 5 7535hs 8gb Ram 512gb Ssd 15.6 Inç Fhd 144hz,ASUS,Tuf Gaming A15,21999.0
https://www.trendyol.com/zeiron/dr15-i5-3470-16gb-256gb-ssd-1tb-hdd-rx550-4gb-23-8-curved-oyuncu-masaustu-bilgisayar-p-660626460,"256GB SSD+1TB HDD Rx550 4GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",Zeiron,Dr15 i5 3470 16GB,14999.0
https://www.trendyol.com/msi/cyborg-15-a13vf-893xtr-i7-13620h-16gb-gddr6-512gb-8gb-rtx4060-15-6-144hz-freedos-full-hd-notebo-p-804806289,"I7-13620h 16gb Gddr6 512gb 8gb Rtx4060 15.6"" 144hz Freedos Full Hd Notebo",MSI,Cyborg 15 A13vf-893xtr,41999.0
https://www.trendyol.com/msi/modern-14-c12mo-862xtr-intel-core-i5-1235u-8gb-ddr4-512gb-ssd-14-inc-60hz-full-hd-freedos-laptop-p-838212837,Intel Core i5-1235U 8GB DDR4 512GB SSD 14 inç 60Hz Full HD FreeDos Laptop,MSI,Modern 14 C12MO-862XTR,14999.0
https://www.trendyol.com/acer/nitro-5-an515-46-amd-ryzen-7-6800h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-tasinabilir-bilgisa-p-788088616,"Ryzen 7 6800h 16gb 512gb Ssd Rtx3050 Freedos 15.6"" Fhd Taşınabilir Bilgisa",ACER,Nitro 5 An515-46 Amd,26599.0
https://www.trendyol.com/zeiron/fx50-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-50439438,1TB HDD+256GB SSD GT730 4GB 23.8'' Oyuncu Masaüstü Bilgisayar,Zeiron,FX50 i5 3470 16GB Ram,13249.0
https://www.trendyol.com/huawei/matebook-d14-2024-intel-core-i5-12450h-16gb-512gb-ssd-14-windows-11-gri-dizustu-bilgisayar-p-808210336,"Intel Core i5-12450H 16GB 512GB SSD 14"" Windows 11 Gri Dizüstü Bilgisayar",Huawei,MateBook D14 2024,26389.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa507nu-lp052-amd-ryzen-7-7735hs-8gb-ddr5-512gb-ssd-6gb-rtx4050-15-6-144hz-dos-p-687053896,"Fa507nu-lp052 Amd Ryzen 7-7735hs 8gb Ddr5 512gb Ssd 6gb Rtx4050 15.6"" 144hz Dos",ASUS,Tuf Gamıng A15,32299.0
https://www.trendyol.com/asus/rog-strix-g16-g614ju-n3195-intel-i7-13650hx-16gb-ddr5-512gb-ssd-6gb-rtx4050-16-wuxga-165hz-dos-p-661623406,"G614ju-n3195 Intel I7-13650hx 16gb Ddr5 512gb Ssd 6gb Rtx4050 16"" Wuxga 165hz Dos",ASUS,Rog Strıx G16,47299.0
https://www.trendyol.com/zeiron/kind-x60-i5-3470-16gb-128gb-ssd-500gb-hdd-gt730-18-5-oyun-bilgisayari-p-137200403,"128gb Ssd+500gb Hdd Gt730 18.5"" Oyun Bilgisayarı",Zeiron,Kind X60 I5-3470 16gb,9199.0
https://www.trendyol.com/apple/macbook-pro-m3-14-uzay-gri-8gb-512gb-ssd-mtl73tu-a-p-777662344,Gri 8gb 512GB Ssd MTL73TU/A,Apple,"Macbook Pro M3 14"" Uzay",63449.0
https://www.trendyol.com/monster/tulpar-t7-v20-6-2-intel-core-i7-13700h-32-gb-ram-1-tb-ssd-8-gb-rtx-4060-freedos-17-3-fhd-144-hz-p-736980364,"Intel Core i7 13700H 32 GB RAM 1 TB SSD 8 GB RTX 4060 FreeDos 17,3"" FHD 144 Hz",MONSTER,Tulpar T7 V20.6.2,53299.0
https://www.trendyol.com/acer/nitro-v-nh-qncey-00116-intel-core-i5-13420h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-anv15-p-808996991,Intel Core i5 13420H 16GB 512GB SSD RTX3050 Freedos 15.6'' FHD ANV15,ACER,Nitro V NH.QNCEY.00116,25499.0
https://www.trendyol.com/quadro/novabook-in16-1650p-cs-i5-1035g7-16gb-512gb-ssd-o-b-uhd-15-6-dos-siyah-notebook-p-804300550,"I5-1035g7 16gb 512gb Ssd O/b Uhd 15.6"" Dos Siyah Notebook",Quadro,Novabook In16-1650p-cs,13349.0
https://www.trendyol.com/lenovo/amd-ryzen-5-5500u-16gb-512gb-m-2-ssd-82r400kutx-atl35-w11pro-15-6-notebook-canta-p-838221473,"512GB M.2 SSD 82R400KUTX ATL35 W11pro 15.6"" Notebook+Çanta",LENOVO,AMD Ryzen 5 5500U 16GB,14249.0
https://www.trendyol.com/msi/thin-gf63-12ve-082xtr-intel-core-i5-12450h-8gb-512gb-ssd-rtx4050-freedos-15-6-fhd-144hz-p-680143031,"Intel Core I5 12450h 8gb 512gb Ssd Rtx4050 Freedos 15.6"" Fhd 144hz",MSI,Thın Gf63 12ve-082xtr,29849.0
https://www.trendyol.com/casper/nirvana-c550-1235-bv00x-g-f-intel-core-i5-1235u-16gb-ram-500gb-nvme-ssd-freedos-p-740918586,C550.1235-BV00X-G-F Intel Core i5-1235U 16GB RAM 500GB NVME SSD Freedos,CASPER,Nirvana,15399.0
https://www.trendyol.com/izoly/business-swift-xt-i5-3470-16gb-256gb-22-masaustu-bilgisayari-p-637243886,"I5-3470 16gb 256gb 22""masaüstü Bilgisayarı",IZOLY,Busıness Swift Xt,6499.0
https://www.trendyol.com/msi/titan-18-hx-a14vig-067tr-i9-14900hx-128gb-ddr5-4tb-ssd-16-gb-rtx4090-18-uhd-144hz-win-11-gamin-p-800629689,I9-14900hx 128gb Ddr5 4tb Ssd 16 Gb Rtx4090 18'' Uhd 144hz Win 11 Gamin,MSI,Titan 18 Hx A14vıg-067tr,231999.0
https://www.trendyol.com/casper/excalibur-g870-1270-dfa0x-b-i7-12700h-32gb-ram-1tb-nvme-ssd-gen4-6gb-rtx4050-dos-gaming-laptop-p-672157475,G870.1270-dfa0x-b I7-12700h 32gb Ram 1tb Nvme Ssd Gen4 6gb Rtx4050 Dos Gamıng Laptop,CASPER,Excalibur,36499.0
https://www.trendyol.com/lenovo/ip1-82qd0072tx-i3-1215u-8-gb-256-gb-ssd-15-6-freedos-p-776739394,"I3-1215u 8 Gb 256 Gb Ssd 15.6"" Freedos",LENOVO,Ip1 82qd0072tx,11499.0
https://www.trendyol.com/zeiron/rx44-plus-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-dual-curved-oyuncu-bilgisayari-p-338365031,"1TB HDD + 240GB SSD GT730 23.8"" Dual Curved Oyuncu Bilgisayarı",Zeiron,Rx44 Plus i5 3470 16GB,15749.0
https://www.trendyol.com/hp/victus-15-fa0008nt-12-nesil-core-i5-12450h-rtx3050-4gb-16gb-512gb-15-6inc-w11-p-779237005,12.Nesil Core i5 12450H-RTX3050 4Gb-16Gb-512Gb-15.6inc-W11,HP,Victus 15-fa0008nt,26049.0
https://www.trendyol.com/dell/gaming-g15-5530-g155530013u-i7-13650hx-16gb-ddr5-1tb-ssd-rtx4060-8gb-fhd-ubuntu-gaming-laptop-p-750510203,G155530013U i7-13650HX 16GB DDR5 1TB SSD RTX4060 8GB FHD Ubuntu Gaming Laptop,Dell,Gaming G15 5530,43499.0
https://www.trendyol.com/msi/katana-17-b13vgk-1040xtr-i7-13620h-32gb-1tb-ssd-8gb-rtx4070-105w-17-3-fhd-144hz-freedos-p-808460206,I7-13620h 32gb 1tb Ssd 8gb Rtx4070 105w 17.3 Fhd 144hz Freedos,MSI,Katana 17 B13vgk-1040xtr,61199.0
https://www.trendyol.com/zeiron/dr15-i5-3470-16gb-256gb-ssd-1tb-hdd-rx550-4gb-23-8-curved-oyuncu-masaustu-bilgisayar-p-660626460,"256GB SSD+1TB HDD Rx550 4GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",Zeiron,Dr15 i5 3470 16GB,14999.0
https://www.trendyol.com/monster/abra-a5-v21-4-2-intel-core-i7-12700h-32-gb-ram-1-tb-ssd-6-gb-rtx-3050-freedos-15-6-fhd-144-hz-p-820115819,"Core i7 12700H 32 GB RAM 1 TB SSD 6 GB RTX 3050 FreeDOS 15,6"" FHD 144 Hz",MONSTER,Abra A5 V21.4.2 Intel,35999.0
https://www.trendyol.com/hp/victus-15-fb2010nt-a05njea-amd-ryzen-5-16gb-ddr5-rtx-4060-8gb-15-6-144hz-fhd-fdos-gaming-laptop-p-824631718,Amd Ryzen 5 16gb Ddr5 Rtx 4060 8gb 15.6 144hz Fhd Fdos Gaming Laptop,HP,Victus 15-fb2010nt A05njea,35899.0
https://www.trendyol.com/asus/rog-strix-g16-g614jv-n3452-intel-core-i7-13650hx-32-gb-512-gb-ssd-rtx-4060-140watt-165-hz-freed-p-806000209,G614jv-n3452 Intel Core I7 13650hx 32 Gb 512 Gb Ssd Rtx 4060-140watt 165 Hz Freed,ASUS,Rog Strix G16,59999.0
https://www.trendyol.com/zeiron/fx50-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-50439438,1TB HDD+256GB SSD GT730 4GB 23.8'' Oyuncu Masaüstü Bilgisayar,Zeiron,FX50 i5 3470 16GB Ram,13249.0
https://www.trendyol.com/acer/aspire-3-a315-510p-38x0-15-6-fhd-intel-i3-n305-8-gb-ddr5-ram-256-gb-ssd-freedos-nx-kdhey-003-p-734373841,15.6” FHD İntel İ3-N305 8 GB DDR5 RAM 256 GB SSD Freedos NX.KDHEY.003,ACER,Aspire 3 A315-510P-38X0,8395.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa506nf-hn068-amd-ryzen-5-7535hs-16-gb-512-gb-ssd-rtx-2050-144-hz-freedos-15-6-p-813492861,"Fa506nf-hn068 Amd Ryzen 5 7535hs 16 Gb 512 Gb Ssd Rtx 2050 144 Hz Freedos 15.6""",ASUS,Tuf Gaming A15,23999.0
https://www.trendyol.com/lenovo/ideapad1-amd-ryzen-5-5500u-8gb-512gb-ssd-15-6-fhd-dos-cloud-grey-dizustu-bilgisayar-82r400kytx-p-832741075,"5-5500U 8GB 512GB SSD 15.6"" FHD DOS Cloud Grey Dizüstü Bilgisayar 82R400KYTX",LENOVO,IdeaPad1 AMD Ryzen,12400.0
https://www.trendyol.com/zeiron/kind-x60-i5-3470-16gb-128gb-ssd-500gb-hdd-gt730-18-5-oyun-bilgisayari-p-137200403,"128gb Ssd+500gb Hdd Gt730 18.5"" Oyun Bilgisayarı",Zeiron,Kind X60 I5-3470 16gb,9199.0
https://www.trendyol.com/acer/nitro-core-i5-13420h-8gb-512gb-ssd-rtx-3050-freedos-15-6-fhd-notebook-nh-qncey-001-p-774592702,"512GB SSD RTX 3050 Freedos 15.6"" FHD Notebook NH.QNCEY.001",ACER,Nitro Core i5 13420H 8GB,23999.0
https://www.trendyol.com/asus/vivobook-go-15-ryzen-3-7320u-8gb-512-gb-ssd-15-6-freedos-e1504fa-nj289-p-745569218,"7320u 8gb 512 Gb Ssd 15,6"" Freedos E1504fa-nj289",ASUS,Vivobook Go 15 Ryzen 3,9899.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa507nvr-lp005-8gb-rtx4060-140w-ryzen-7-7435hs-16gb-512gb-ssd-15-6-fhd-144hz-p-838432126,"FA507NVR-LP005 8GB RTX4060 140w Ryzen 7 7435HS 16GB 512GB SSD 15.6"" FHD 144Hz",ASUS,TUF Gaming A15,39299.0
https://www.trendyol.com/quadro/novabook-in16-1650p-cs-i5-1035g7-16gb-512gb-ssd-o-b-uhd-15-6-dos-siyah-notebook-p-804300550,"I5-1035g7 16gb 512gb Ssd O/b Uhd 15.6"" Dos Siyah Notebook",Quadro,Novabook In16-1650p-cs,13349.0
https://www.trendyol.com/acer/aspire-3-amd-ryzen-3-7320u-8gb-256gb-ssd-dos-15-6-fhd-dizustu-bilgisayar-acer-turkiye-garantili-p-755183026,"3-7320U 8GB 256GB SSD DOS 15.6"" FHD Dizüstü Bilgisayar (ACER Türkiye Garantili)",ACER,Aspire 3 AMD Ryzen,9199.0
https://www.trendyol.com/casper/excalibur-g870-1245-bva0x-b-core-i5-12450h-16gb-ram-500gb-nvme-ssd-6gb-rtx4050-dos-gaming-laptop-p-672154325,G870.1245-BVA0X-B Core i5-12450H 16GB RAM 500GB NVME SSD 6GB RTX4050 DOS GAMING LAPTOP,CASPER,Excalibur,31299.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa507nur-lp006-6gb-rtx4050-140w-ryzen-7-7435hs-8gb-512gb-ssd-15-6-inc-fhd-144hz-p-838733188,FA507NUR-LP006 6GB RTX4050 140w Ryzen 7 7435HS 8GB 512GB SSD 15.6 inç FHD 144Hz,ASUS,TUF Gaming A15,30999.0
https://www.trendyol.com/izoly/business-swift-xt-i5-3470-16gb-256gb-22-masaustu-bilgisayari-p-637243886,"I5-3470 16gb 256gb 22""masaüstü Bilgisayarı",IZOLY,Busıness Swift Xt,6499.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa506nf-hn052-amd-ryzen-5-7535hs-8-gb-512-gb-ssd-rtx-2050-144-hz-freedos-15-6-f-p-812030009,"Fa506nf-hn052 Amd Ryzen 5 7535hs 8 Gb 512 Gb Ssd Rtx 2050 144 Hz Freedos 15.6"" F",ASUS,Tuf Gaming A15,22199.0
https://www.trendyol.com/lenovo/loq-15irx9-83dv00g7tr-i7-13650hx-8g-512-ssd-6gb-rtx4050-15-6-freedos-p-834836872,i7-13650HX 8G 512 SSD 6GB RTX4050 15.6 FreeDos,LENOVO,LOQ 15IRX9 83DV00G7TR,35999.0
https://www.trendyol.com/hp/victus-16-s0032nt-amd-r5-7640hs-16gb-512gb-ssd-rtx3050-6gb-dos-16-1-144-hz-fhd-notebook-7z4n2ea-p-739504858,"7640hs 16gb 512gb Ssd Rtx3050-6gb Dos 16.1"" 144 Hz Fhd Notebook 7z4n2ea",HP,Victus 16-s0032nt Amd R5,27699.0
https://www.trendyol.com/zeiron/rx44-plus-i5-3470-16gb-1tb-hdd-240gb-ssd-gt730-23-8-dual-curved-oyuncu-bilgisayari-p-338365031,"1TB HDD + 240GB SSD GT730 23.8"" Dual Curved Oyuncu Bilgisayarı",Zeiron,Rx44 Plus i5 3470 16GB,15749.0
https://www.trendyol.com/asus/tuf-gaming-a15-fa506nf-hn051-amd-ryzen-5-7535hs-8gb-512gb-ssd-4gb-rtx2050-15-6-fhd-144hz-fdos-p-814174557,"FA506NF-HN051 AMD RYZEN 5-7535HS 8GB 512GB SSD 4GB RTX2050 15.6"" FHD 144Hz FDOS",ASUS,TUF GAMING A15,22449.0
https://www.trendyol.com/lenovo/ideapad-slim3-intelcore-i5-12450h-16gb-512gb-ssd-dos-15-6-arctic-grey-dizustu-bilgisayar-83er008ktr-p-792009187,"IntelCore i5-12450H 16GB 512GB SSD DOS 15.6"" Arctic Grey Dizüstü Bilgisayar 83ER008KTR",LENOVO,IdeaPad Slim3,19499.0
https://www.trendyol.com/msi/modern-15-b12mo-624xtr-intel-core-i5-1235u-8gb-ddr4-512gb-ssd-uma-15-6-fhd-freedos-notebook-p-767805447,Intel Core i5-1235U 8GB DDR4 512GB SSD UMA 15.6 FHD FreeDos Notebook,MSI,MODERN 15 B12MO-624XTR,16349.9
https://www.trendyol.com/zeiron/dr15-i5-3470-16gb-256gb-ssd-1tb-hdd-rx550-4gb-23-8-curved-oyuncu-masaustu-bilgisayar-p-660626460,"256GB SSD+1TB HDD Rx550 4GB 23.8"" Curved Oyuncu Masaüstü Bilgisayar",Zeiron,Dr15 i5 3470 16GB,14999.0
https://www.trendyol.com/hometech/alfa-620c-intel-celeron-n4020-4-gb-128-gb-ssd-windows-11-14-1-tn-tasinabilir-bilgisayar-p-658259965,"Celeron N4020 4 Gb 128 Gb Ssd Windows 11 14.1"" Tn Taşınabilir Bilgisayar",Hometech,Alfa 620c Intel,6381.0
https://www.trendyol.com/msi/thin-15-b12uc-1479xtr-i7-12650h-16gb-512gb-ssd-rtx3050-freedos-15-6-fhd-144hz-tasinabilir-bil-p-837967052,"12650H 16GB 512GB SSD RTX3050 Freedos 15.6"" FHD 144Hz Taşınabilir Bil.",MSI,THIN 15 B12UC-1479XTR i7,36999.0
https://www.trendyol.com/msi/cyborg-15-a13ve-1252xtr-intel-core-i5-13420h-16gb-512gb-ssd-rtx4050-freedos-15-6-fhd-p-855593749,"Intel Core i5 13420H 16GB 512GB SSD RTX4050 Freedos 15.6"" FHD",MSI,CYBORG 15 A13VE-1252XTR,35899.0
https://www.trendyol.com/zeiron/fx50-i5-3470-16gb-ram-1tb-hdd-256gb-ssd-gt730-4gb-23-8-oyuncu-masaustu-bilgisayar-p-50439438,1TB HDD+256GB SSD GT730 4GB 23.8'' Oyuncu Masaüstü Bilgisayar,Zeiron,FX50 i5 3470 16GB Ram,13249.0
